order_id,order_date,customer,email,product,category,quantity,unit_price,total_sale,region,sales_rep
ORD-1337,2024-01-10,Sunset Catering,orders@sunsetcatering.com,Desk Organizer,Office Supplies,15,12.5,187.5,North,Tom B.
ORD-1803,2024-01-10,Bright Horizons,hello@brighthorizons.com,Standing Desk,Furniture,1,549,549,West,Anna K.
ORD-1987,2024-01-10,Acme Corp,billing@acme.com,Webcam Hd,Electronics,7,35,245,West,Tom B.
ORD-1275,2024-01-11,Greenleaf Ltd,contact@greenleaf.com,Pdf Editor,Software,12,79,948,South,Lisa C.
ORD-1539,2024-01-11,Blue Ridge Llc,admin@blueridge.com,Notebook Set,Office Supplies,14,18,252,West,Anna K.
ORD-1121,2024-01-12,Peak Solutions,info@peaksol.com,Ergonomic Chair,Furniture,12,325,3900,South,Anna K.
ORD-1208,2024-01-12,Delta Supplies,orders@deltasupplies.com,Desk Organizer,Office Supplies,6,12.5,75,North,Tom B.
ORD-1265,2024-01-12,Peak Solutions,info@peaksol.com,Ergonomic Chair,Furniture,4,325,1300,East,Tom B.
ORD-1283,2024-01-12,Greenleaf Ltd,contact@greenleaf.com,Monitor Arm,Furniture,9,89.99,809.91,South,Sarah J.
ORD-1459,2024-01-12,Sunshine Bakery,orders@sunshine.com,Ergonomic Chair,Furniture,1,325,325,South,Tom B.
ORD-1993,2024-01-12,Greenleaf Ltd,contact@greenleaf.com,Monitor Arm,Furniture,9,89.99,809.91,North,Sarah J.
ORD-1363,2024-01-13,Peak Solutions,info@peaksol.com,Desk Lamp,Office Supplies,6,34.99,209.94,North,Lisa C.
ORD-1759,2024-01-13,Sunset Catering,orders@sunsetcatering.com,Webcam Hd,Electronics,9,35,315,West,Anna K.
ORD-1850,2024-01-13,Bright Horizons,hello@brighthorizons.com,Stapler Pro,Office Supplies,6,22.5,135,North,Tom B.
ORD-1098,2024-01-14,Novex Industries,purchase@novex.com,Standing Desk,Furniture,13,549,7137,South,Anna K.
ORD-1417,2024-01-14,Rivera & Sons,contact@riverasons.com,Vpn Annual,Software,3,49,147,South,Tom B.
ORD-1031,2024-01-15,Peak Solutions,info@peaksol.com,Monitor Arm,Furniture,11,89.99,989.89,West,Mike R.
ORD-1071,2024-01-15,Sunshine Bakery,orders@sunshine.com,Monitor Arm,Furniture,13,89.99,1169.87,East,Lisa C.
ORD-1368,2024-01-15,Global Tech,info@globaltech.com,Standing Desk,Furniture,2,549,1098,East,Anna K.
ORD-1402,2024-01-15,Blue Ridge Llc,admin@blueridge.com,Ergonomic Chair,Furniture,10,325,3250,West,Mike R.
ORD-1549,2024-01-16,Sunshine Bakery,orders@sunshine.com,Ergonomic Chair,Furniture,2,325,650,South,Sarah J.
ORD-1692,2024-01-16,Sunshine Bakery,orders@sunshine.com,Stapler Pro,Office Supplies,6,22.5,135,West,Tom B.
ORD-1817,2024-01-16,Blue Ridge Llc,admin@blueridge.com,Usb-C Hub,Electronics,3,49.99,149.97,North,Sarah J.
ORD-1873,2024-01-16,Novex Industries,purchase@novex.com,Pdf Editor,Software,2,79,158,West,Mike R.
ORD-1727,2024-01-18,Greenleaf Ltd,contact@greenleaf.com,Desk Lamp,Office Supplies,1,34.99,34.99,West,Anna K.
ORD-1959,2024-01-18,Bright Horizons,hello@brighthorizons.com,Desk Lamp,Office Supplies,9,34.99,314.91,South,Sarah J.
ORD-1092,2024-01-19,Metro Office Co,buy@metrooffice.com,Pen Pack,Office Supplies,6,8.99,53.94,North,Lisa C.
ORD-1304,2024-01-19,Sunshine Bakery,orders@sunshine.com,Laptop Stand,Electronics,10,45,450,East,Lisa C.
ORD-1305,2024-01-19,Global Tech,info@globaltech.com,Standing Desk,Furniture,6,549,3294,West,Sarah J.
ORD-1841,2024-01-19,Peak Solutions,info@peaksol.com,Ergonomic Chair,Furniture,13,325,4225,South,Sarah J.
ORD-1975,2024-01-19,Blue Ridge Llc,admin@blueridge.com,Desk Lamp,Office Supplies,7,34.99,244.93,East,Mike R.
ORD-1023,2024-01-20,Global Tech,info@globaltech.com,Pdf Editor,Software,12,79,948,East,Tom B.
ORD-1115,2024-01-20,Acme Corp,billing@acme.com,Monitor Arm,Furniture,10,89.99,899.9,North,Lisa C.
ORD-1020,2024-01-22,Blue Ridge Llc,admin@blueridge.com,Ergonomic Chair,Furniture,15,325,4875,East,Mike R.
ORD-1234,2024-01-22,Acme Corp,billing@acme.com,Vpn Annual,Software,9,49,441,North,Lisa C.
ORD-1741,2024-01-22,Delta Supplies,orders@deltasupplies.com,"Monitor 27""",Electronics,14,220,3080,North,Anna K.
ORD-1669,2024-01-23,Blue Ridge Llc,admin@blueridge.com,Stapler Pro,Office Supplies,7,22.5,157.5,South,Sarah J.
ORD-1130,2024-01-24,Delta Supplies,orders@deltasupplies.com,Notebook Set,Office Supplies,1,18,18,East,Anna K.
ORD-1219,2024-01-24,Sunshine Bakery,orders@sunshine.com,Antivirus 1yr,Software,14,59.99,839.86,West,Sarah J.
ORD-1220,2024-01-24,Metro Office Co,buy@metrooffice.com,Mechanical Keyboard,Electronics,8,79.99,639.92,South,Tom B.
ORD-1714,2024-01-24,Metro Office Co,buy@metrooffice.com,Vpn Annual,Software,15,49,735,West,Mike R.
ORD-1725,2024-01-24,Sunshine Bakery,orders@sunshine.com,Notebook Set,Office Supplies,10,18,180,North,Mike R.
ORD-1013,2024-01-26,Metro Office Co,buy@metrooffice.com,Wireless Mouse,Electronics,15,29.99,449.84999999999997,South,Mike R.
ORD-1113,2024-01-26,Metro Office Co,buy@metrooffice.com,Notebook Set,Office Supplies,1,18,18,North,Tom B.
ORD-1188,2024-01-26,Peak Solutions,info@peaksol.com,Antivirus 1yr,Software,1,59.99,59.99,East,Sarah J.
ORD-1159,2024-01-27,Peak Solutions,info@peaksol.com,Monitor Arm,Furniture,12,89.99,1079.88,South,Tom B.
ORD-1331,2024-01-27,Sunshine Bakery,orders@sunshine.com,Pdf Editor,Software,8,79,632,East,Tom B.
ORD-1834,2024-01-27,Peak Solutions,info@peaksol.com,Vpn Annual,Software,2,49,98,West,Tom B.
ORD-1048,2024-01-28,Rivera & Sons,contact@riverasons.com,Monitor Arm,Furniture,13,89.99,1169.87,West,Tom B.
ORD-1406,2024-01-28,Rivera & Sons,contact@riverasons.com,Desk Organizer,Office Supplies,4,12.5,50,South,Sarah J.
ORD-1671,2024-01-28,Peak Solutions,info@peaksol.com,Ergonomic Chair,Furniture,5,325,1625,South,Anna K.
ORD-1974,2024-01-28,Global Tech,info@globaltech.com,Wireless Mouse,Electronics,2,29.99,59.98,West,Tom B.
ORD-1201,2024-01-30,Delta Supplies,orders@deltasupplies.com,Vpn Annual,Software,6,49,294,South,Sarah J.
ORD-1430,2024-01-31,Novex Industries,purchase@novex.com,Monitor Arm,Furniture,9,89.99,809.91,East,Sarah J.
ORD-1616,2024-01-31,Sunshine Bakery,orders@sunshine.com,Stapler Pro,Office Supplies,14,22.5,315,East,Sarah J.
ORD-1886,2024-01-31,Greenleaf Ltd,contact@greenleaf.com,Vpn Annual,Software,5,49,245,South,Tom B.
ORD-1063,2024-02-01,Peak Solutions,info@peaksol.com,Ergonomic Chair,Furniture,2,325,650,West,Sarah J.
ORD-1118,2024-02-01,Metro Office Co,buy@metrooffice.com,Mechanical Keyboard,Electronics,5,79.99,399.95,South,Tom B.
ORD-1398,2024-02-01,Peak Solutions,info@peaksol.com,Pen Pack,Office Supplies,6,8.99,53.94,North,Sarah J.
ORD-1611,2024-02-01,Delta Supplies,orders@deltasupplies.com,Ergonomic Chair,Furniture,1,325,325,North,Tom B.
ORD-1648,2024-02-01,Bright Horizons,hello@brighthorizons.com,Standing Desk,Furniture,11,549,6039,East,Tom B.
ORD-1510,2024-02-02,Bright Horizons,hello@brighthorizons.com,Usb-C Hub,Electronics,11,49.99,549.89,North,Mike R.
ORD-1628,2024-02-02,Sunset Catering,orders@sunsetcatering.com,Pen Pack,Office Supplies,13,8.99,116.87,East,Lisa C.
ORD-1690,2024-02-02,Delta Supplies,orders@deltasupplies.com,Monitor Arm,Furniture,12,89.99,1079.88,West,Anna K.
ORD-1366,2024-02-03,Delta Supplies,orders@deltasupplies.com,Antivirus 1yr,Software,1,59.99,59.99,West,Lisa C.
ORD-1379,2024-02-03,Novex Industries,purchase@novex.com,Pen Pack,Office Supplies,4,8.99,35.96,West,Sarah J.
ORD-1411,2024-02-03,Blue Ridge Llc,admin@blueridge.com,Pdf Editor,Software,12,79,948,East,Anna K.
ORD-1441,2024-02-03,Sunset Catering,orders@sunsetcatering.com,Mechanical Keyboard,Electronics,11,79.99,879.89,South,Sarah J.
ORD-1448,2024-02-03,Delta Supplies,orders@deltasupplies.com,Desk Organizer,Office Supplies,3,12.5,37.5,East,Anna K.
ORD-1751,2024-02-03,Greenleaf Ltd,contact@greenleaf.com,Monitor Arm,Furniture,5,89.99,449.95,North,Anna K.
ORD-1810,2024-02-03,Peak Solutions,info@peaksol.com,Antivirus 1yr,Software,1,59.99,59.99,West,Tom B.
ORD-1863,2024-02-03,Acme Corp,billing@acme.com,Webcam Hd,Electronics,7,35,245,South,Tom B.
ORD-1533,2024-02-04,Sunset Catering,orders@sunsetcatering.com,Vpn Annual,Software,15,49,735,North,Mike R.
ORD-1827,2024-02-04,Sunset Catering,orders@sunsetcatering.com,"Monitor 27""",Electronics,3,220,660,South,Tom B.
ORD-1015,2024-02-05,Delta Supplies,orders@deltasupplies.com,Laptop Stand,Electronics,14,45,630,South,Tom B.
ORD-1017,2024-02-05,Rivera & Sons,contact@riverasons.com,Standing Desk,Furniture,3,549,1647,West,Anna K.
ORD-1276,2024-02-05,Bright Horizons,hello@brighthorizons.com,Desk Lamp,Office Supplies,5,34.99,174.95,East,Anna K.
ORD-1456,2024-02-05,Novex Industries,purchase@novex.com,Desk Lamp,Office Supplies,12,34.99,419.88,West,Anna K.
ORD-1044,2024-02-06,Metro Office Co,buy@metrooffice.com,Pen Pack,Office Supplies,13,8.99,116.87,South,Tom B.
ORD-1128,2024-02-07,Rivera & Sons,contact@riverasons.com,Desk Lamp,Office Supplies,4,34.99,139.96,East,Lisa C.
ORD-1715,2024-02-07,Novex Industries,purchase@novex.com,Antivirus 1yr,Software,14,59.99,839.86,South,Anna K.
ORD-1896,2024-02-07,Sunshine Bakery,orders@sunshine.com,Antivirus 1yr,Software,7,59.99,419.93,South,Mike R.
ORD-1978,2024-02-07,Bright Horizons,hello@brighthorizons.com,Monitor Arm,Furniture,6,89.99,539.9399999999999,West,Lisa C.
ORD-1053,2024-02-08,Sunset Catering,orders@sunsetcatering.com,Standing Desk,Furniture,10,549,5490,West,Sarah J.
ORD-1513,2024-02-08,Bright Horizons,hello@brighthorizons.com,Standing Desk,Furniture,7,549,3843,South,Tom B.
ORD-1877,2024-02-08,Sunset Catering,orders@sunsetcatering.com,Monitor Arm,Furniture,5,89.99,449.95,West,Sarah J.
ORD-1284,2024-02-09,Greenleaf Ltd,contact@greenleaf.com,Standing Desk,Furniture,3,549,1647,West,Anna K.
ORD-1620,2024-02-09,Acme Corp,billing@acme.com,Desk Lamp,Office Supplies,3,34.99,104.97,East,Sarah J.
ORD-1849,2024-02-09,Delta Supplies,orders@deltasupplies.com,Standing Desk,Furniture,14,549,7686,West,Sarah J.
ORD-1191,2024-02-10,Peak Solutions,info@peaksol.com,"Monitor 27""",Electronics,10,220,2200,South,Sarah J.
ORD-1100,2024-02-10,Blue Ridge Llc,admin@blueridge.com,Stapler Pro,Office Supplies,5,22.5,112.5,South,Lisa C.
ORD-1279,2024-02-10,Sunset Catering,orders@sunsetcatering.com,Webcam Hd,Electronics,9,35,315,West,Lisa C.
ORD-1634,2024-02-10,Novex Industries,purchase@novex.com,Webcam Hd,Electronics,11,35,385,West,Anna K.
ORD-1101,2024-02-11,Acme Corp,billing@acme.com,Monitor Arm,Furniture,4,89.99,359.96,West,Anna K.
ORD-1334,2024-02-11,Metro Office Co,buy@metrooffice.com,Laptop Stand,Electronics,2,45,90,North,Anna K.
ORD-1093,2024-02-12,Greenleaf Ltd,contact@greenleaf.com,Antivirus 1yr,Software,7,59.99,419.93,South,Anna K.
ORD-1573,2024-02-12,Sunshine Bakery,orders@sunshine.com,Laptop Stand,Electronics,10,45,450,North,Sarah J.
ORD-1740,2024-02-12,Acme Corp,billing@acme.com,Laptop Stand,Electronics,13,45,585,West,Mike R.
ORD-1042,2024-02-13,Rivera & Sons,contact@riverasons.com,"Monitor 27""",Electronics,13,220,2860,West,Anna K.
ORD-1511,2024-02-13,Global Tech,info@globaltech.com,Standing Desk,Furniture,9,549,4941,South,Tom B.
ORD-1519,2024-02-13,Greenleaf Ltd,contact@greenleaf.com,Monitor Arm,Furniture,15,89.99,1349.85,West,Sarah J.
ORD-1626,2024-02-13,Rivera & Sons,contact@riverasons.com,Standing Desk,Furniture,10,549,5490,West,Sarah J.
ORD-1652,2024-02-13,Global Tech,info@globaltech.com,"Monitor 27""",Electronics,12,220,2640,West,Sarah J.
ORD-1984,2024-02-13,Rivera & Sons,contact@riverasons.com,Mechanical Keyboard,Electronics,8,79.99,639.92,North,Mike R.
ORD-1670,2024-02-14,Sunshine Bakery,orders@sunshine.com,Monitor Arm,Furniture,11,89.99,989.89,North,Mike R.
ORD-1953,2024-02-14,Novex Industries,purchase@novex.com,Desk Lamp,Office Supplies,5,34.99,174.95,North,Lisa C.
ORD-1400,2024-02-15,Sunset Catering,orders@sunsetcatering.com,Pen Pack,Office Supplies,12,8.99,107.88,South,Sarah J.
ORD-1924,2024-02-15,Bright Horizons,hello@brighthorizons.com,Ergonomic Chair,Furniture,9,325,2925,East,Anna K.
ORD-1060,2024-02-16,Peak Solutions,info@peaksol.com,Webcam Hd,Electronics,9,35,315,North,Tom B.
ORD-1175,2024-02-16,Greenleaf Ltd,contact@greenleaf.com,Pen Pack,Office Supplies,7,8.99,62.93,North,Lisa C.
ORD-1321,2024-02-16,Rivera & Sons,contact@riverasons.com,Stapler Pro,Office Supplies,15,22.5,337.5,North,Mike R.
ORD-1396,2024-02-16,Rivera & Sons,contact@riverasons.com,Ergonomic Chair,Furniture,14,325,4550,South,Tom B.
ORD-1673,2024-02-16,Bright Horizons,hello@brighthorizons.com,Pen Pack,Office Supplies,4,8.99,35.96,West,Lisa C.
ORD-1677,2024-02-16,Blue Ridge Llc,admin@blueridge.com,Pen Pack,Office Supplies,8,8.99,71.92,West,Mike R.
ORD-1995,2024-02-16,Metro Office Co,buy@metrooffice.com,Usb-C Hub,Electronics,9,49.99,449.91,West,Anna K.
ORD-1026,2024-02-17,Rivera & Sons,contact@riverasons.com,Ergonomic Chair,Furniture,13,325,4225,South,Mike R.
ORD-1586,2024-02-17,Blue Ridge Llc,admin@blueridge.com,Monitor Arm,Furniture,2,89.99,179.98,East,Anna K.
ORD-1746,2024-02-17,Global Tech,info@globaltech.com,Pdf Editor,Software,3,79,237,East,Anna K.
ORD-1655,2024-02-18,Bright Horizons,hello@brighthorizons.com,Notebook Set,Office Supplies,14,18,252,West,Anna K.
ORD-1342,2024-02-19,Sunset Catering,orders@sunsetcatering.com,Stapler Pro,Office Supplies,2,22.5,45,North,Sarah J.
ORD-1505,2024-02-19,Sunshine Bakery,orders@sunshine.com,Monitor Arm,Furniture,14,89.99,1259.86,North,Lisa C.
ORD-1693,2024-02-19,Peak Solutions,info@peaksol.com,Notebook Set,Office Supplies,2,18,36,East,Mike R.
ORD-1808,2024-02-19,Acme Corp,billing@acme.com,Ergonomic Chair,Furniture,11,325,3575,South,Tom B.
ORD-1890,2024-02-19,Peak Solutions,info@peaksol.com,Vpn Annual,Software,4,49,196,South,Lisa C.
ORD-1145,2024-02-20,Blue Ridge Llc,admin@blueridge.com,Stapler Pro,Office Supplies,12,22.5,270,South,Tom B.
ORD-1040,2024-02-21,Rivera & Sons,contact@riverasons.com,Ergonomic Chair,Furniture,6,325,1950,South,Lisa C.
ORD-1186,2024-02-21,Sunset Catering,orders@sunsetcatering.com,Notebook Set,Office Supplies,8,18,144,North,Sarah J.
ORD-1236,2024-02-21,Blue Ridge Llc,admin@blueridge.com,Usb-C Hub,Electronics,6,49.99,299.94,West,Tom B.
ORD-1250,2024-02-21,Rivera & Sons,contact@riverasons.com,Pdf Editor,Software,13,79,1027,North,Mike R.
ORD-1260,2024-02-21,Greenleaf Ltd,contact@greenleaf.com,Ergonomic Chair,Furniture,9,325,2925,West,Tom B.
ORD-1859,2024-02-21,Acme Corp,billing@acme.com,Wireless Mouse,Electronics,10,29.99,299.9,North,Mike R.
ORD-1920,2024-02-21,Sunshine Bakery,orders@sunshine.com,Pen Pack,Office Supplies,15,8.99,134.85,East,Lisa C.
ORD-1241,2024-02-22,Greenleaf Ltd,contact@greenleaf.com,Monitor Arm,Furniture,5,89.99,449.95,South,Tom B.
ORD-1543,2024-02-22,Blue Ridge Llc,admin@blueridge.com,Ergonomic Chair,Furniture,10,325,3250,East,Sarah J.
ORD-1951,2024-02-22,Rivera & Sons,contact@riverasons.com,"Monitor 27""",Electronics,12,220,2640,West,Lisa C.
ORD-1999,2024-02-22,Peak Solutions,info@peaksol.com,Notebook Set,Office Supplies,15,18,270,East,Anna K.
ORD-1221,2024-02-23,Peak Solutions,info@peaksol.com,Monitor Arm,Furniture,15,89.99,1349.85,West,Tom B.
ORD-1469,2024-02-23,Metro Office Co,buy@metrooffice.com,Desk Organizer,Office Supplies,14,12.5,175,West,Sarah J.
ORD-1657,2024-02-23,Peak Solutions,info@peaksol.com,Mechanical Keyboard,Electronics,3,79.99,239.97,North,Mike R.
ORD-1018,2024-02-24,Greenleaf Ltd,contact@greenleaf.com,Pen Pack,Office Supplies,5,8.99,44.95,South,Lisa C.
ORD-1193,2024-02-24,Delta Supplies,orders@deltasupplies.com,Webcam Hd,Electronics,14,35,490,East,Tom B.
ORD-1424,2024-02-24,Delta Supplies,orders@deltasupplies.com,"Monitor 27""",Electronics,1,220,220,North,Mike R.
ORD-1855,2024-02-24,Sunshine Bakery,orders@sunshine.com,Notebook Set,Office Supplies,15,18,270,South,Tom B.
ORD-1291,2024-02-25,Acme Corp,billing@acme.com,Monitor Arm,Furniture,7,89.99,629.93,South,Tom B.
ORD-1306,2024-02-25,Delta Supplies,orders@deltasupplies.com,Mechanical Keyboard,Electronics,12,79.99,959.88,East,Tom B.
ORD-1524,2024-02-25,Sunset Catering,orders@sunsetcatering.com,Antivirus 1yr,Software,3,59.99,179.97,East,Tom B.
ORD-1625,2024-02-25,Bright Horizons,hello@brighthorizons.com,Vpn Annual,Software,15,49,735,East,Anna K.
ORD-1765,2024-02-25,Global Tech,info@globaltech.com,Antivirus 1yr,Software,2,59.99,119.98,West,Mike R.
ORD-1088,2024-02-26,Blue Ridge Llc,admin@blueridge.com,Pen Pack,Office Supplies,2,8.99,17.98,North,Mike R.
ORD-1211,2024-02-26,Delta Supplies,orders@deltasupplies.com,Antivirus 1yr,Software,2,59.99,119.98,North,Sarah J.
ORD-1383,2024-02-26,Delta Supplies,orders@deltasupplies.com,Vpn Annual,Software,9,49,441,West,Tom B.
ORD-1642,2024-02-26,Greenleaf Ltd,contact@greenleaf.com,Mechanical Keyboard,Electronics,15,79.99,1199.85,West,Tom B.
ORD-1326,2024-02-27,Delta Supplies,orders@deltasupplies.com,Vpn Annual,Software,2,49,98,South,Anna K.
ORD-1630,2024-02-27,Bright Horizons,hello@brighthorizons.com,Usb-C Hub,Electronics,4,49.99,199.96,East,Anna K.
ORD-1709,2024-02-27,Sunshine Bakery,orders@sunshine.com,Antivirus 1yr,Software,6,59.99,359.94,West,Tom B.
ORD-1243,2024-02-28,Sunset Catering,orders@sunsetcatering.com,Pdf Editor,Software,4,79,316,South,Tom B.
ORD-1320,2024-02-28,Delta Supplies,orders@deltasupplies.com,Pdf Editor,Software,9,79,711,North,Tom B.
ORD-1146,2024-02-29,Greenleaf Ltd,contact@greenleaf.com,Pen Pack,Office Supplies,5,8.99,44.95,East,Tom B.
ORD-1869,2024-02-29,Rivera & Sons,contact@riverasons.com,Vpn Annual,Software,12,49,588,East,Mike R.
ORD-1167,2024-03-01,Acme Corp,billing@acme.com,Standing Desk,Furniture,5,549,2745,North,Lisa C.
ORD-1217,2024-03-01,Sunset Catering,orders@sunsetcatering.com,Wireless Mouse,Electronics,7,29.99,209.93,West,Sarah J.
ORD-1382,2024-03-01,Peak Solutions,info@peaksol.com,Pdf Editor,Software,14,79,1106,West,Tom B.
ORD-1401,2024-03-01,Rivera & Sons,contact@riverasons.com,Notebook Set,Office Supplies,14,18,252,East,Lisa C.
ORD-1575,2024-03-01,Novex Industries,purchase@novex.com,Standing Desk,Furniture,10,549,5490,North,Mike R.
ORD-1755,2024-03-01,Novex Industries,purchase@novex.com,Pdf Editor,Software,1,79,79,East,Sarah J.
ORD-1832,2024-03-01,Greenleaf Ltd,contact@greenleaf.com,Monitor Arm,Furniture,4,89.99,359.96,South,Anna K.
ORD-1174,2024-03-02,Bright Horizons,hello@brighthorizons.com,Ergonomic Chair,Furniture,8,325,2600,East,Tom B.
ORD-1207,2024-03-02,Acme Corp,billing@acme.com,Standing Desk,Furniture,8,549,4392,East,Tom B.
ORD-1285,2024-03-02,Rivera & Sons,contact@riverasons.com,Laptop Stand,Electronics,13,45,585,West,Sarah J.
ORD-1479,2024-03-02,Rivera & Sons,contact@riverasons.com,Desk Organizer,Office Supplies,6,12.5,75,East,Mike R.
ORD-1753,2024-03-02,Novex Industries,purchase@novex.com,Wireless Mouse,Electronics,7,29.99,209.93,West,Tom B.
ORD-1809,2024-03-02,Metro Office Co,buy@metrooffice.com,Mechanical Keyboard,Electronics,3,79.99,239.97,North,Sarah J.
ORD-1176,2024-03-03,Acme Corp,billing@acme.com,Usb-C Hub,Electronics,3,49.99,149.97,South,Tom B.
ORD-1425,2024-03-03,Rivera & Sons,contact@riverasons.com,Pdf Editor,Software,13,79,1027,North,Mike R.
ORD-1301,2024-03-04,Global Tech,info@globaltech.com,Laptop Stand,Electronics,8,45,360,East,Sarah J.
ORD-1722,2024-03-04,Peak Solutions,info@peaksol.com,Mechanical Keyboard,Electronics,14,79.99,1119.86,South,Tom B.
ORD-1979,2024-03-04,Novex Industries,purchase@novex.com,Desk Lamp,Office Supplies,4,34.99,139.96,West,Lisa C.
ORD-1461,2024-03-05,Bright Horizons,hello@brighthorizons.com,Antivirus 1yr,Software,12,59.99,719.88,North,Tom B.
ORD-1526,2024-03-05,Sunshine Bakery,orders@sunshine.com,Monitor Arm,Furniture,1,89.99,89.99,South,Sarah J.
ORD-1686,2024-03-05,Greenleaf Ltd,contact@greenleaf.com,Desk Lamp,Office Supplies,7,34.99,244.93,East,Lisa C.
ORD-1906,2024-03-05,Global Tech,info@globaltech.com,Webcam Hd,Electronics,13,35,455,North,Sarah J.
ORD-1106,2024-03-06,Global Tech,info@globaltech.com,Pdf Editor,Software,13,79,1027,East,Anna K.
ORD-1384,2024-03-06,Novex Industries,purchase@novex.com,Monitor Arm,Furniture,10,89.99,899.9,North,Lisa C.
ORD-1404,2024-03-06,Peak Solutions,info@peaksol.com,Ergonomic Chair,Furniture,15,325,4875,North,Anna K.
ORD-1405,2024-03-06,Sunset Catering,orders@sunsetcatering.com,Monitor Arm,Furniture,6,89.99,539.94,West,Lisa C.
ORD-1721,2024-03-06,Bright Horizons,hello@brighthorizons.com,Ergonomic Chair,Furniture,6,325,1950,East,Mike R.
ORD-1019,2024-03-07,Metro Office Co,buy@metrooffice.com,Ergonomic Chair,Furniture,12,325,3900,West,Anna K.
ORD-1460,2024-03-07,Rivera & Sons,contact@riverasons.com,Stapler Pro,Office Supplies,7,22.5,157.5,East,Lisa C.
ORD-1775,2024-03-07,Sunset Catering,orders@sunsetcatering.com,Monitor Arm,Furniture,15,89.99,1349.85,North,Sarah J.
ORD-1918,2024-03-07,Bright Horizons,hello@brighthorizons.com,Vpn Annual,Software,1,49,49,East,Sarah J.
ORD-1372,2024-03-08,Acme Corp,billing@acme.com,Pdf Editor,Software,5,79,395,East,Mike R.
ORD-1676,2024-03-08,Peak Solutions,info@peaksol.com,Monitor Arm,Furniture,7,89.99,629.93,North,Mike R.
ORD-1324,2024-03-09,Acme Corp,billing@acme.com,Laptop Stand,Electronics,1,45,45,South,Tom B.
ORD-1399,2024-03-09,Blue Ridge Llc,admin@blueridge.com,Stapler Pro,Office Supplies,14,22.5,315,East,Lisa C.
ORD-1155,2024-03-10,Peak Solutions,info@peaksol.com,Webcam Hd,Electronics,14,35,490,South,Mike R.
ORD-1183,2024-03-10,Sunshine Bakery,orders@sunshine.com,Vpn Annual,Software,8,49,392,East,Mike R.
ORD-1196,2024-03-10,Bright Horizons,hello@brighthorizons.com,Usb-C Hub,Electronics,4,49.99,199.96,South,Sarah J.
ORD-1287,2024-03-10,Sunset Catering,orders@sunsetcatering.com,Desk Lamp,Office Supplies,7,34.99,244.93,South,Anna K.
ORD-1749,2024-03-10,Novex Industries,purchase@novex.com,Laptop Stand,Electronics,3,45,135,East,Mike R.
ORD-1297,2024-03-11,Sunshine Bakery,orders@sunshine.com,Notebook Set,Office Supplies,1,18,18,West,Sarah J.
ORD-1482,2024-03-11,Novex Industries,purchase@novex.com,Pdf Editor,Software,4,79,316,South,Tom B.
ORD-1576,2024-03-11,Rivera & Sons,contact@riverasons.com,Laptop Stand,Electronics,12,45,540,South,Lisa C.
ORD-1644,2024-03-11,Delta Supplies,orders@deltasupplies.com,Antivirus 1yr,Software,11,59.99,659.89,South,Lisa C.
ORD-1982,2024-03-11,Blue Ridge Llc,admin@blueridge.com,Pdf Editor,Software,1,79,79,North,Sarah J.
